inicio,depto,mpio,nombre,actor,tipo_actor,descripcion,convivencias,C_resistencia,C_transformacion,C_gestion_pacifica,C_21,C_22,C_23,C_24,C_31,C_32,C_33,C_34,C_35,C_41,C_42,C_43,categoria
999,HUILA,Tello, Gestores Humanitarios, JAC,33== Campesinos,"generar normas de convivencia en sus comunidades, mediar en los conflictos comunitarios y velar por sus derechos, estableciendo espacios de diálogo que permitan dar solución a las problematicas que afronta la comunidad,con la creación de la JAC a comunidad se ve representada y escuchada por los actores que intervienen en el conflicto de dicha zona.","3 == Derecho a la vida, la libertad y la seguridad, como un derecho fundamental para el goce de todos los demás Derechos Humanos",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Gestion pacifica de conflictos
999,PUTUMAYO,Barbacoas,¡Ñambi y telembi viven! Tejiendo memoria y resistencia Inkal Awá,"Gran familia Awá: Unipa, Camawari, Asipap Unipa/Resguardo Tortugaña Telembi",18== Cabildos indígenas - Autoridades Indígenas,"El Resguardo indígena Awá UNIPA – Tortugaña – Telembí, fue ganador de un estímulo para proyectos
museológicos con énfasis en memoria histórica asociada al conflicto armado, otorgado en la 1ra. Convocatoria de
Estímulos a Iniciativas de Memoria, realizada por el CNMH en alianza con el Ministerio de Cultura.
Como un acto de conmemoración y lucha, la comunidad diseñó la exposición “¡Ñambi y Telembí viven! Tejiendo
memoria y resistencia Inkal Awá”,un proyecto itinerante en conmemoración y armonización de los hermanos caídos
en el conflicto armado, recordando la masacre del 4 de febrero del 2009, como parte esencial del reconocimiento
como víctimas.
El 12 de diciembre de 2013 se exhibió la exposición en el Museeo Casona de Taminango con fotografías y textos
que rememoran la masacre de 2009 en el Resguardo Tortugaña-Telembi, donde 17 indígenas Awá fueron
asesinados. Ñambí y Telembí son los dos ríos que hacen parte del territorio y que dan el nombre a los dos niños
que fueron asesinados antes de nacer y a quienes la comunidad quiere recordar siempre.
Este proyecto también contempló la visibilización y difusión de una acto de resistencia comunitaria sin
precedentes, en donde mas de 700 indígenas de las diferentes organizaciones y pueblos hermanos acompañaron
la Minga humanitaria por la vida y dignidad el pueblo Inkal Awá quienes recorrieron sus territorios, cruzando ríos y
quebradas, para dar cuenta de la barbarie cometida y recuperar los cuerpos de los indígenas asesinados.
En 2014, la exposición estuvo durante un mes en el Centro de Memoria, Paz y Reconciliación de Bogotá.
A mediano y largo plazo, pretenden adelantar procesos de memoria que culminen en una investigación y la
construcción de un lugar de memoria Awá.","1 == Derecho a la libertad y la igualdad sin distinción de raza, color, sexo, idioma, religión, opinión política u otra, origen nacional o social, propiedad, nacimiento o cualquier otro estado",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,Transformaciones para la paz
999,NARINO,Tumaco,"¡Y yo levanto mi voz! Memorias de
resistencia y paz en Tumaco","Diócesis de Tumaco - Pastoral
Social. Agrupación ARS
Componente Afro, Agrupación
Represent Tumaco, Tatiana
Benítez, Yurimar, Master Rap.
Angel María Estacio Alegría, Nila
del Socorro Castillo Rodríguez,
Octavio Montes Arango, Yolanda
Ramos, Mailen Aurora Quiñones
Mosquera, Cruz Yolima Palacios
Ferrín",1== Iglesia católica,"¡Y yo levanto mi voz! es un compilado que reúne las voces y memorias de algunos hombres y mujeres de Tumaco
que por medio de la música y la poesía presentan narrativas sonoras acerca de las historias de desigualdad,
conflicto armado y resistencias que han tenido lugar en la región del Pacífico Nariñense durante los últimos años.
Sus versos, letras y composiciones son una voz que rompe el miedo, en la cual se entretejen las memorias de las
luchas de las comunidades afrodescendientes, los estragos del conflicto armado y de políticas de desarrollo en su
territorio y subjetividades, así como sus sueños de paz y reparación. Este proceso es resultado del trabajo conjunto
entre el Centro Nacional de Memoria Historica y la Diócesis de Tumaco en torno al fortalecimiento de los lenguajes
y narrativas locales de las IMH del Pacífico Sur en 2015.","1 == Derecho a la libertad y la igualdad sin distinción de raza, color, sexo, idioma, religión, opinión política u otra, origen nacional o social, propiedad, nacimiento o cualquier otro estado",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Transformaciones para la paz
999,NARINO,Tumaco,26 de agosto: del silencio al camino de la resistencia Inkal Awá,Resguardo indigena Awá de Gran Rosario,49== Indígenas,"Mediante una muestra audiovisual y fotográfica se quiere mostrar el proceso de reconstrucción de memoria de la
masacre del 26 de agosto en el resguardo a través de las historias de sobrevivientes, de los lugares sagrados
afectados y de quienes fallecieron, resaltando también la reconstrucción del tejido social que ha hecho la
comunidad. Producto: Galería y video.
La iniciativa de memoria histórica consiste elaborar una muestra audiovisual y fotográficaque permita mostrar el
proceso de reconstrucción del tejido social del resguardo de Gran Rosario, dentro de los procesos de memoria
entender los impactos de los hechos allí ocurridos; Además de potencializar las historias de vida de quienes
sobrevivieron a esta tragedia y de darle un rostro y una voz a quienes fallecieron. Este camino permitirá a través
de las voces de los sobrevivientes de nuestras comunidades contarán lo ocurrido, pero también el proceso de re
construcción del plan de vida de las comunidades afectadas, puesto que la situación del conflicto armado no ha
cesado y algunas comunidades continúan con el temor que los sucedido en el 2009 vuelva ocurrir, siendo
necesario que dicho proceso se avance desde nuestro buen vivir y bien vivir como parte del ser Inkal Awá.
Un aspecto que se quiere trabajar es identificar los lugares sagrados donde se vivieron hechos violentos a causa
del conflicto armado, y a que son contenedores de historias dolorosas, que permanecen en el olvido.","1 == Derecho a la libertad y la igualdad sin distinción de raza, color, sexo, idioma, religión, opinión política u otra, origen nacional o social, propiedad, nacimiento o cualquier otro estado",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Transformaciones para la paz
999,NARINO,Pasto,"4 vidas, el documental",Corporación Ágora Club,29 == Sectores LGBTI,"4 vidas, el documental es una iniciativa audiovisual que narra las distintas formas de violencia enmarcadas en el
conflicto armado, que tuvieron que afrontar 4 mujeres trans. Este documental tiene como propósito constituirse en
una herramienta para abordar el tema LGBTI desde la óptica de aquellas personas, quienes por causa de su
orientación sexual o de su Identidad de Género sufrieron los rigores de esa violencia sin sentido, que como país
nos ha afectado por más de 50 años.
Esta pieza comunicativa, no se detiene solamente en ver a sus protagonistas como víctimas, sino además nos
permite ver cómo ellas han logrado salir adelante, tomar las riendas de sus vidas y convertirse en lideresas de sus
grupos poblacionales, siendo ahora referentes en la causa social en búsqueda del reconocimiento y reivindicación
de sus derechos.
4 Vidas – el documental abordará, a modo de entrevistas, la vida de 4 mujeres trans de Nariño, para adentrarnos
en su intimidad personal y conocer de primera mano, todos aquellos hechos que han rodeado sus existencias.
Cada quién nos relatará su visión del mundo, sus vivencias y dificultades personales, como consideran que
debería ser el mundo.
Distintos hechos de violencia son recurrentes alrededor de las personas de los sectores sociales LGBTI, muchos
de esos hechos están relacionados o enmarcados en el conflicto armado. Este documental nos permitirá saber qué
hechos de discriminación o de violencia se les han presentado a las/os protagonistas y cómo los han afrontado y
qué enseñanzas les han dejado. Con ellas dialogaremos sobre distintos aspectos sociales, de las distintas
violencias, de la actualidad nacional, del conflicto armado y de la etapa del pos acuerdo al cual va a entrar nuestro
país.
Retos, metas, aspiraciones, objetivos y la construcción del proyecto de vida personal, serán aspectos a tratar en
esta producción.","1 == Derecho a la libertad y la igualdad sin distinción de raza, color, sexo, idioma, religión, opinión política u otra, origen nacional o social, propiedad, nacimiento o cualquier otro estado",1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Resistencias no violentas
999,CESAR,Becerril,A los que siempre recordaremos,Casa de la Cultura de Becerril,43== Víctimas de la violencia y familiares,"Mediante ejercicios de memoria, salidas de campo, líneas de tiempo y cartografías en torno a las afectaciones
causadas por el conflicto, el grupo decide hacer un mapa que contenga la lista de personas que han muerto a
causa de la guerra. Para ello realizaron salidas de campo en donde empezaron a recolectar los datos para
alimentar el listado de víctimas. En el transcurso de esas salidas escogen la manera como quieren contar su
memoria del conflicto. Se plantea un mapa que pondrá a disposición de la gente unas fichas que están
organizadas de manera similar a un archivador, para que cualquier persona de la comunidad pueda acceder a esta
información.Quienes deseen también pueden elaborar una ficha, para lo cual encuentran formatos disponibles para
diligenciar.
Con todo esto, el grupo pretende generar un proceso de sensibilización sobre el conflicto interno armado en el
municipio y a su vez dignificar el nombre de las víctimas y sus familias.","3 == Derecho a la vida, la libertad y la seguridad, como un derecho fundamental para el goce de todos los demás Derechos Humanos",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Transformaciones para la paz
999,CAUCA,Caloto,Abracitos Nasa,Resguardo Huellas Caloto,49== Indígenas,"Abracitos Nasa es una iniciativa de memoria histórica que cuenta con la participación de niños y niñas que con el
acompañamiento de la cuidadora Luz Marina Escúe han desarrollado una serie de herramientas psicosociales,
organizadas en 12 pasos o abrazos. Dichos abrazos buscan propiciar un diálogo en el que puedan autoreconocerse
en relación con su territorio, su cultura y las situaciones de vulneración a las que se han tenido que
enfrentar, como insumo necesario para la resignificación de dichas vulneraciones y la construcción de sueños que
aporten a la consecución de la paz territorial.
Esta iniciativa busca conocer las afectaciones psicológicas a los niños y niñas de la zona norte del Cauca en el
marco del conflicto armado por el conflicto armado, además de potenciar y difundir los ejercicios de memoria que
han venido desarrollando los niños y niñas de la vereda La Selva del municipio de Caloto, llevando la experiencia a
la vereda Pajarito. Producto del acompañamiento realizado en 2017, se realizó un video que recoge la metodología
de los 12 abrazos (encuentros) con los que se trabaja la reconstrucción de las experiencias de los niños y niñas.",32== Derecho a la autodeterminación de los pueblos (incluyendo minorías étnicas y culturales),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Transformaciones para la paz
999,ANTIOQUIA,Carmen de Viboral,"Acto público de recordación -
conmemoración por los campesinos
desaparecidos en la vereda La
Esperanza del Carmen de Viboral","Asamblea de víctimas detenidos y
desaparecidos de la vereda La
Esperanza",44== Entidades culturales ,"La conmemoración comenzó a realizarse desde el 16 de noviembre de 1996 con el lema Recuperar la esperanza
para La Esperanza. Cada año, sin falta, los familiares conmemoran y recuerdan a sus víctimas. Resistir en La
Esperanza tras una década de impunidad fue el segundo acto publico realizado el 12 de agosto de 2006. Para
este se elaboró la galería de la memoria en la participaron los hijos e hijas, las esposas, madres, hermanos y
hermanas de personas desaparecidas, tejiendo las historias de vida y dignificando sus nombres y se construyó un
monumento en los alrededores de la capilla de Santa Cruz que fue destruido en el año 2009.
En noviembre 4 de 2008 se conmemoraron los 12 años en un acto simbólico en el río Cocorná, que evocaba el
más profundo anhelo de encontrar a los seres queridos. El 26 de noviembre del 2011 se conmemoraron 15 años
con un acto denominado Caminando en La Esperanza por justicia y dignidad. En este proceso se elaboró la
galería de la memoria de los hijos e hijas, así como la galería de la memoria del Personero Helí Gómez Osorio, se
pintó un mural y dos familiares compusieron dos canciones con arreglos hechos por varios grupos musicales.
Igualmente se presentó la obra de teatro Más que conciencia en la que participaron hijos e hijas de las víctimas
de la vereda La Esperanza, jóvenes de algunos barrios de la ciudad de Medellín y teatreros espontáneos que se
unieron al acto de memoria con la asesoría de la cooperante alemana Inge Kleutgens. También se realizó una
marcha por la autopista Medellín - Bogotá, recorrido de los víctimarios hace 15 años. Para esta conmemoración
también se construyó participativamente la agenda de reparación integral que contempla algunos puntos en el
tema de memoria histórica.
A partir de estos ejercicios están en proceso de construcción de un lugar de memoria.","3 == Derecho a la vida, la libertad y la seguridad, como un derecho fundamental para el goce de todos los demás Derechos Humanos",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Transformaciones para la paz
999,ANTIOQUIA,Medellín,"Actos conmemorativos por la paz, la
vida y la dignidad del Nordeste
Antioqueño.","Asociación de Víctimas y
Sobrevivientes del Nordeste
Antioqueño-ASOVISNA",43== Víctimas de la violencia y familiares,"En el contexto de finalización del conflicto armado y construcción de paz en Colombia, la iniciativa busca el
fortalecimiento y empoderamiento de víctimas y sobrevivientes del conflicto armado y la violencia sociopolítica en
el Nordeste del departamento de Antioquia, a través de acciones artísticas, formativas, investigativas, jurídicas y de
incidencia para que actúen de manera cualificada y articulada en procesos regionales y nacionales de
implementación y seguimiento al Acuerdo sobre Víctimas, y a la defensa de sus derechos a la Verdad, Justicia,
Reparación integral y Garantías de no repetición.","3 == Derecho a la vida, la libertad y la seguridad, como un derecho fundamental para el goce de todos los demás Derechos Humanos",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Resistencias no violentas
999,ANTIOQUIA,Alejandría,"Alejandría, memoria y esperanza-
Diseño y montaje del salón municipal de
la memoria","Asociación de Mujeres Víctimas
Cabeza de Familia de Alejandría
(Amuvicafa), Asociación de
Víctimas de Alejandría (Asovival),
Semillero de Narrativas
Periodísticas del Pregrado en
Comunicación Social de la
Universidad EAFIT",43== Víctimas de la violencia y familiares,"Se busca diseñar y montar un salón de la memoria que recuerde a las víctimas del conflicto en el municipio, en
especial entre 1999 y 2004 cuando la violencia alcanzó su máxima expresión. Pese a no figurar en el imaginario
como un pueblo del Oriente antioqueño donde el conflicto haya sido fuerte, allí ocurrieron situaciones muy graves:
unas 200 personas fueron asesinadas, 25 más desaparecidas, masacres, combates entre los grupos armados en
medio de la población civil, el 62% de la población urbana y rural sufrió desplazamiento forzado y ocurrieron toda
clase de violaciones a los derechos humanos y al DIH. Esto en una comunidad de 7.500 personas. Desde 2014,
dos grupos de víctimas de la localidad (uno de ellos de solo mujeres) trabajan de manera conjunta y participativa
con la Universidad EAFIT (Medellín) en el proyecto “Alejandría, memoria y esperanza”, para la reconstrucción de la memoria histórica y documentar los esfuerzos de sanación individuales y colectivos de ese municipio. La mayor
parte de esto está recogido en el sitio web ww.memoriaalejandria.com y ahora se está terminando la escritura de un libro en el que se relata lo sucedido desde la perspectiva de las víctimas. Ahora se quiere diseñar y montar un salón municipal para la memoria. Para ello ya se tiene un espacio físico, facilitado por la administración municipal,
en el parque educativo Faro de Alejandría, ubicado en la plaza principal del área urbana, junto a la iglesia. Ya se tienen múltiples materiales (trabajos manuales, fotos, objetos, etc.) y muchas historias recogidas, pero se requiere asesoría y recursos económicos para el diseño del salón con participación de las organizaciones de víctimas y
para el montaje de un lugar que tenga mucho sentido y dignifique la memoria de las víctimas del conflicto.",31== Derecho a la paz,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Transformaciones para la paz
