"hecho","Hombre","Intersexual","LGBTI","Mujer"
"Abandono o despojo forzado de tierras",30,0,0,27
"Acto terrorista, atentados, combates, enfrentamientos, hostigamientos",72,0,0,76
"Amenaza",557,0,2,698
"Delitos contra la libertad y la integridad sexual en desarrollo del conflicto armado",19,0,10,284
"Desaparición forzada",225,0,0,297
"Desplazamiento forzado",25164,16,22,27788
"Homicidio",819,0,1,1248
"Lesiones personales físicas",23,0,3,20
"Lesiones personales psicológicas",44,0,0,20
"Minas antipersonal, munición sin explotar y artefacto explosivo improvisado",31,0,0,7
"Perdida de bienes muebles o inmuebles",467,0,1,465
"Secuestro",63,0,1,23
"Sin información",19,0,0,32
"Tortura",11,0,1,23
"Vinculación de niños, niñas y adolescentes a actividades relacionadas con grupos armados",12,0,0,6
