"","dpto","mpio","codmpio","anio","salida","llegada"
"1","Amazonas","El Encanto",91263,1997,1,0
"2","Amazonas","El Encanto",91263,1999,1,3
"3","Amazonas","El Encanto",91263,2001,15,5
"4","Amazonas","El Encanto",91263,2002,1,0
"5","Amazonas","El Encanto",91263,2003,6,7
"6","Amazonas","El Encanto",91263,2004,11,6
"7","Amazonas","El Encanto",91263,2005,2,8
"8","Amazonas","El Encanto",91263,2006,17,1
"9","Amazonas","El Encanto",91263,2007,46,0
"10","Amazonas","El Encanto",91263,2008,12,0
"11","Amazonas","El Encanto",91263,2009,10,0
"12","Amazonas","El Encanto",91263,2010,10,0
"13","Amazonas","El Encanto",91263,2012,26,1
"14","Amazonas","El Encanto",91263,2013,15,4
"15","Amazonas","El Encanto",91263,2014,9,2
"16","Amazonas","El Encanto",91263,2018,8,0
"17","Amazonas","La Chorrera",91405,1985,1,0
"18","Amazonas","La Chorrera",91405,1998,3,0
"19","Amazonas","La Chorrera",91405,1999,2,2
"20","Amazonas","La Chorrera",91405,2000,12,3
"21","Amazonas","La Chorrera",91405,2001,5,7
"22","Amazonas","La Chorrera",91405,2002,6,1
"23","Amazonas","La Chorrera",91405,2003,35,5
"24","Amazonas","La Chorrera",91405,2004,15,0
"25","Amazonas","La Chorrera",91405,2005,7,6
"26","Amazonas","La Chorrera",91405,2006,1,0
"27","Amazonas","La Chorrera",91405,2007,3,0
"28","Amazonas","La Chorrera",91405,2009,5,0
"29","Amazonas","La Chorrera",91405,2010,14,1
"30","Amazonas","La Chorrera",91405,2011,8,0
"31","Amazonas","La Chorrera",91405,2013,3,0
"32","Amazonas","La Chorrera",91405,2014,7,2
"33","Amazonas","La Chorrera",91405,2015,8,0
"34","Amazonas","La Pedrera",91407,1992,6,0
"35","Amazonas","La Pedrera",91407,1995,8,0
"36","Amazonas","La Pedrera",91407,1997,1,0
"37","Amazonas","La Pedrera",91407,1999,1,1
"38","Amazonas","La Pedrera",91407,2000,3,3
"39","Amazonas","La Pedrera",91407,2001,8,2
"40","Amazonas","La Pedrera",91407,2002,3,0
"41","Amazonas","La Pedrera",91407,2003,47,15
"42","Amazonas","La Pedrera",91407,2004,4,0
"43","Amazonas","La Pedrera",91407,2006,5,0
