mpio,dpto,lon,lat,salida,llegada,total
Útica,Cundinamarca,-74.483,5.191,639,683,1322
Abejorral,Antioquia,-75.429,5.789,9604,3914,13518
Abrego,Norte de Santander,-73.222,8.082,8443,4262,12705
Abriaquí,Antioquia,-76.065,6.632,1840,838,2678
Acacías,Meta,-73.766,3.99,4140,12304,16444
Acandí,Chocó,-77.28,8.511,12486,8816,21302
Acevedo,Huila,-75.889,1.805,7040,3709,10749
Achí,Bolívar,-74.557,8.569,29886,6788,36674
Agrado,Huila,-75.772,2.26,297,339,636
Agua de Dios,Cundinamarca,-74.669,4.375,302,260,562
Aguachica,Cesar,-73.599,8.31,18080,23241,41321
Aguada,Santander,-73.523,6.162,140,15,155
Aguadas,Caldas,-75.455,5.61,3269,1971,5240
Aguazul,Casanare,-72.546,5.173,4907,2936,7843
Agustín Codazzi,Cesar,-73.238,10.04,43458,26551,70009
Aipe,Huila,-75.239,3.224,2867,1709,4576
Albán,Cundinamarca,-74.438,4.878,2749,1643,4392
Albán,Nariño,-77.081,1.475,2749,1643,4392
Albania,Caquetá,-75.878,1.329,6759,5295,12054
Albania,La Guajira,-72.599,11.157,6759,5295,12054
Albania,Santander,-73.914,5.759,6759,5295,12054
Alcalá,Valle del Cauca,-75.78,4.675,733,1620,2353
Aldana,Nariño,-77.7,0.882,102,81,183
Alejandría,Antioquia,-75.141,6.376,5613,3137,8750
Algarrobo,Magdalena,-74.061,10.188,6521,3007,9528
Algeciras,Huila,-75.315,2.522,14828,1260,16088
Almaguer,Cauca,-76.856,1.913,4938,190,5128
Almeida,Boyacá,-73.379,4.971,45,9,54
Alpujarra,Tolima,-74.933,3.392,1555,269,1824
Altamira,Huila,-75.788,2.064,271,684,955
Alto Baudo,Chocó,-76.974,5.516,14245,3098,17343
Altos del Rosario,Bolívar,-74.165,8.792,11793,3017,14810
Alvarado,Tolima,-74.954,4.567,1972,409,2381
Amagá,Antioquia,-75.702,6.039,1803,1410,3213
Amalfi,Antioquia,-75.083,6.912,7623,4169,11792
Ambalema,Tolima,-74.764,4.783,762,249,1011
Anapoima,Cundinamarca,-74.529,4.563,315,631,946
Ancuyá,Nariño,-77.515,1.263,440,838,1278
Andalucía,Valle del Cauca,-76.168,4.172,1045,649,1694
Andes,Antioquia,-75.879,5.657,4147,3440,7587
Angelópolis,Antioquia,-75.711,6.11,1657,856,2513
Angostura,Antioquia,-75.335,6.885,3811,1990,5801
Anolaima,Cundinamarca,-74.464,4.762,448,336,784
Anorí,Antioquia,-75.148,7.075,13882,6823,20705
Anserma,Caldas,-75.784,5.236,3793,2542,6335
Ansermanuevo,Valle del Cauca,-75.992,4.795,842,1089,1931
Anza,Antioquia,-75.854,6.303,4363,2651,7014
Anzoátegui,Tolima,-75.096,4.627,6098,984,7082
Apía,Risaralda,-75.942,5.106,1411,1479,2890
Apartadó,Antioquia,-76.626,7.883,69901,71074,140975
Apulo,Cundinamarca,-74.594,4.52,398,303,701
Aquitania,Boyacá,-72.884,5.519,832,421,1253
Aracataca,Magdalena,-74.187,10.59,22420,10728,33148
Aranzazu,Caldas,-75.491,5.271,655,458,1113
Aratoca,Santander,-73.018,6.694,119,87,206
Arauca,Arauca,-70.746,7.077,17114,26718,43832
Arauquita,Arauca,-71.427,7.027,20431,8863,29294
Arbeláez,Cundinamarca,-74.415,4.272,1062,587,1649
Arboleda,Nariño,-77.135,1.504,433,895,1328
Arboledas,Norte de Santander,-72.799,7.643,1863,345,2208
Arboletes,Antioquia,-76.427,8.851,27538,14288,41826
Arcabuco,Boyacá,-73.438,5.755,4,9,13
Arenal,Bolívar,-73.941,8.459,7315,3801,11116
Argelia,Antioquia,-75.142,5.731,43659,13375,57034
Argelia,Cauca,-77.249,2.257,43659,13375,57034
Argelia,Valle del Cauca,-76.12,4.727,43659,13375,57034
Ariguaní,Magdalena,-74.236,9.847,7147,3804,10951
Arjona,Bolívar,-75.344,10.257,2377,6310,8687
Armenia,Antioquia,-75.787,6.156,2822,23229,26051
Armenia,Quindío,-75.681,4.536,2822,23229,26051
Armero,Tolima,-74.884,5.031,1596,1165,2761
Arroyohondo,Bolívar,-75.017,10.243,1043,385,1428
Astrea,Cesar,-73.976,9.498,8635,2216,10851
Ataco,Tolima,-75.383,3.591,18510,3837,22347
Atrato,Chocó,-76.635,5.531,2831,785,3616
Ayapel,Córdoba,-75.146,8.314,9184,5152,14336
Bagadó,Chocó,-76.415,5.411,11550,3024,14574
Bahía Solano,Chocó,-77.403,6.222,3591,5347,8938
Bajo Baudó,Chocó,-77.365,4.955,12413,8163,20576
Balboa,Cauca,-77.216,2.04,9764,2321,12085
Balboa,Risaralda,-75.96,4.946,9764,2321,12085
Baranoa,Atlántico,-74.916,10.795,638,2032,2670
Baraya,Huila,-75.054,3.153,5334,2005,7339
Barbacoas,Nariño,-78.14,1.67,28527,11808,40335
Barbosa,Antioquia,-75.332,6.439,4521,6237,10758
Barbosa,Santander,-73.616,5.933,4521,6237,10758
Barichara,Santander,-73.223,6.634,76,38,114
Barranca de Upía,Meta,-72.964,4.571,600,959,1559
Barrancabermeja,Santander,-73.85,7.065,33999,54682,88681
Barrancas,La Guajira,-72.794,10.959,5790,5716,11506
Barranco Minas,Guainía,-69.813,3.494,2882,404,3286
Barranco de Loba,Bolívar,-74.105,8.948,15562,5621,21183
Barranquilla,Atlántico,-74.795,10.976,7182,123573,130755
Becerril,Cesar,-73.279,9.705,15702,10321,26023
Belén,Boyacá,-72.912,5.989,998,245,1243
Belén,Nariño,-77.016,1.596,998,245,1243
Belén de Los Andaquies,Caquetá,-75.872,1.416,8642,4601,13243
Belén de Umbría,Risaralda,-75.868,5.201,2504,1645,4149
Belalcázar,Caldas,-75.812,4.994,495,827,1322
Bello,Antioquia,-75.555,6.334,9256,49584,58840
Belmira,Antioquia,-75.667,6.606,601,381,982
Beltrán,Cundinamarca,-74.742,4.803,495,169,664
Berbeo,Boyacá,-73.127,5.227,127,108,235
Betéitiva,Boyacá,-72.809,5.91,17,6,23
Betania,Antioquia,-75.976,5.745,2762,1277,4039
Betulia,Antioquia,-75.985,6.115,20181,11351,31532
Betulia,Santander,-73.284,6.9,20181,11351,31532
Bituima,Cundinamarca,-74.54,4.872,314,35,349
Boavita,Boyacá,-72.585,6.331,109,15,124
Bochalema,Norte de Santander,-72.647,7.612,248,391,639
"Bogotá, D.C.","Bogotá, D.C.",-74.107,4.65,11518,517766,529284
Bojacá,Cundinamarca,-74.348,4.742,55,96,151
Bojaya,Chocó,-76.883,6.556,24849,5973,30822
Bolívar,Cauca,-76.966,1.837,24492,3018,27510
Bolívar,Santander,-73.771,5.989,24492,3018,27510
Bolívar,Valle del Cauca,-76.184,4.338,24492,3018,27510
Bosconia,Cesar,-73.889,9.975,9785,13771,23556
Boyacá,Boyacá,-73.362,5.454,237,85,322
Briceño,Antioquia,-75.548,7.115,7043,1950,8993
Briceño,Boyacá,-73.923,5.691,7043,1950,8993
Bucaramanga,Santander,-73.133,7.116,6426,67864,74290
Bucarasica,Norte de Santander,-72.868,8.041,2509,992,3501
Buenaventura,Valle del Cauca,-77.012,3.876,238571,182997,421568
Buenavista,Boyacá,-73.942,5.512,9706,10703,20409
Buenavista,Córdoba,-75.481,8.221,9706,10703,20409
Buenavista,Quindío,-75.739,4.36,9706,10703,20409
Buenavista,Sucre,-74.973,9.32,9706,10703,20409
Buenos Aires,Cauca,-76.642,3.015,17826,6326,24152
Buesaco,Nariño,-77.156,1.381,2413,2279,4692
Bugalagrande,Valle del Cauca,-76.157,4.208,6401,5270,11671
Buriticá,Antioquia,-75.908,6.72,6425,3881,10306
Busbanzá,Boyacá,-72.884,5.831,4,0,4
Cáceres,Antioquia,-75.352,7.578,23074,7609,30683
Cácota,Norte de Santander,-72.642,7.269,81,73,154
Cértegui,Chocó,-76.608,5.37,680,623,1303
Cómbita,Boyacá,-73.324,5.635,21,13,34
Córdoba,Bolívar,-74.827,9.587,30477,11015,41492
Córdoba,Nariño,-77.518,0.855,30477,11015,41492
Córdoba,Quindío,-75.688,4.392,30477,11015,41492
Cúcuta,Norte de Santander,-72.508,7.905,25312,98043,123355
Cañasgordas,Antioquia,-76.032,6.759,7649,2511,10160
Cabrera,Cundinamarca,-74.484,3.985,2004,537,2541
Cabrera,Santander,-73.247,6.592,2004,537,2541
Cabuyaro,Meta,-72.792,4.286,491,548,1039
Cachipay,Cundinamarca,-74.436,4.731,195,245,440
Cachirá,Norte de Santander,-73.049,7.741,2817,598,3415
Caicedo,Antioquia,-75.983,6.406,3067,822,3889
Caicedonia,Valle del Cauca,-75.83,4.335,2312,2490,4802
Caimito,Sucre,-75.117,8.789,1967,829,2796
Cajamarca,Tolima,-75.435,4.437,5640,2554,8194
Cajibío,Cauca,-76.571,2.623,13220,1589,14809
Cajicá,Cundinamarca,-74.023,4.921,82,732,814
Calamar,Bolívar,-74.914,10.252,12205,2389,14594
Calamar,Guaviare,-72.655,1.96,12205,2389,14594
Calarcá,Quindío,-75.649,4.515,2769,6235,9004
Caldas,Antioquia,-75.634,6.091,1449,3579,5028
Caldas,Boyacá,-73.866,5.555,1449,3579,5028
Caldono,Cauca,-76.484,2.798,5309,2159,7468
Cali,Valle del Cauca,-76.522,3.414,21960,157686,179646
California,Santander,-72.946,7.348,128,0,128
Calima,Valle del Cauca,-76.484,3.934,2527,1760,4287
Caloto,Cauca,-76.408,3.034,7657,5320,12977
Campamento,Antioquia,-75.298,6.98,3341,889,4230
Campo de La Cruz,Atlántico,-74.883,10.379,174,868,1042
Campoalegre,Huila,-75.326,2.687,3399,4539,7938
